"tract","Name","Household_Income_rP_gP_p75"
9001045300,"Wilton, CT",78289
9001045200,"Wilton, CT",75613
9001035400,"New Canaan, CT",73767
9001060400,"Fairfield, CT",72659
9001035200,"New Canaan, CT",72030
9001020300,"North Stamford, Stamford, CT",71283
9001245500,"Ridgefield, CT",70254
9001045101,"Wilton, CT",69307
36119012502,"South Salem, NY",69150
9001035100,"New Canaan, CT",67220
9001245400,"Ridgefield, CT",67197
36119012400,"Pound Ridge, NY",66672
9001042900,"Norwalk, CT",66230
9001240100,"Redding, CT",64904
9001045102,"Wilton, CT",64564
9001042500,"Norwalk, CT",64485
36119012503,"South Salem, NY",63291
9001045400,"Wilton, CT",63195
9001050300,"Westport, CT",62370
9001042600,"Norwalk, CT",62326
9001055100,"Weston, CT",62241
9001245300,"Ridgefield, CT",61751
9001105200,"Easton, CT",61688
9001050200,"Westport, CT",61629
9001105100,"Easton, CT",60813
9001050100,"Westport, CT",58021
9001055200,"Weston, CT",56769
9001042700,"Norwalk, CT",50814
