"tract","Name","Household_Income_rP_gP_p25"
9001045300,"Wilton, CT",76063
9001045200,"Wilton, CT",67466
9001035400,"New Canaan, CT",65981
36119012502,"South Salem, NY",60275
9001060400,"Fairfield, CT",60037
9001245500,"Ridgefield, CT",56518
9001035200,"New Canaan, CT",55054
9001055100,"Weston, CT",54083
9001020300,"North Stamford, Stamford, CT",54047
9001105200,"Easton, CT",52020
9001045101,"Wilton, CT",49854
9001245400,"Ridgefield, CT",49597
9001240100,"Redding, CT",49241
36119012400,"Pound Ridge, NY",48976
9001042900,"Norwalk, CT",47937
9001042500,"Norwalk, CT",47813
9001035100,"New Canaan, CT",47477
9001050300,"Westport, CT",46773
9001045102,"Wilton, CT",46630
9001050200,"Westport, CT",44728
9001245300,"Ridgefield, CT",44641
9001042600,"Norwalk, CT",44551
9001045400,"Wilton, CT",41668
36119012503,"South Salem, NY",41058
9001105100,"Easton, CT",40864
9001042700,"Norwalk, CT",33239
9001055200,"Weston, CT",33016
9001050100,"Westport, CT",30887
