"tract","Name","Household_Income_rP_gP_p50"
9001045300,"Wilton, CT",77189
9001045200,"Wilton, CT",71530
9001035400,"New Canaan, CT",69872
9001060400,"Fairfield, CT",66259
36119012502,"South Salem, NY",64698
9001035200,"New Canaan, CT",63275
9001245500,"Ridgefield, CT",63242
9001020300,"North Stamford, Stamford, CT",62371
9001045101,"Wilton, CT",59112
9001055100,"Weston, CT",58130
9001245400,"Ridgefield, CT",58013
36119012400,"Pound Ridge, NY",57422
9001035100,"New Canaan, CT",56822
9001240100,"Redding, CT",56768
9001042900,"Norwalk, CT",56638
9001042500,"Norwalk, CT",55779
9001045102,"Wilton, CT",55151
9001050300,"Westport, CT",54245
9001042600,"Norwalk, CT",52977
9001245300,"Ridgefield, CT",52774
9001050200,"Westport, CT",52769
9001045400,"Wilton, CT",51703
36119012503,"South Salem, NY",51390
9001105100,"Easton, CT",50222
9001055200,"Weston, CT",44037
9001050100,"Westport, CT",43335
9001042700,"Norwalk, CT",41637
